"Victoria — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
2016 November,**,**,**,**,**,**,3,
2016 December,**,**,**,**,**,**,1,
2017 January,**,**,**,**,**,**,1,
2017 February,**,**,**,**,**,**,3,
2017 March,**,**,**,**,**,**,3,
2017 April,**,**,**,**,**,**,0,
2017 May,**,**,**,**,**,**,0,
2017 June,**,**,**,**,**,**,0,
2017 July,**,**,**,**,**,**,1,
2017 August,**,**,**,**,**,**,0,
2017 September,**,**,**,**,**,**,3,
2017 October,**,**,**,**,**,**,5,
2017 November,**,**,**,**,**,**,5,
2017 December,**,**,**,**,**,**,3,
2018 January,**,**,**,**,**,**,2,
2018 February,**,**,**,**,**,**,2,
2018 March,**,**,**,**,**,**,5,
2018 April,**,**,**,**,**,**,3,
2018 May,**,**,**,**,**,"935,309",11,
2018 June,**,**,**,**,**,"939,400",11,
2018 July,**,**,**,**,**,"880,199",12,
2018 August,**,**,**,**,**,"803,640",17,
2018 September,"502,000","591,000","636,000","1,185,000","600,000","778,879",20,
2018 October,"478,000","615,000","840,000","1,197,000","750,000","855,145",15,
2018 November,"552,000","614,000","720,000","1,008,000","660,000","797,693",17,
2018 December,"570,000","614,000","744,000","1,188,000","690,000","824,745",22,
2019 January,"584,000","624,000","790,000","1,000,000","720,000","812,607",30,
2019 February,"600,000","642,000","790,000","1,144,000","710,000","841,797",30,
2019 March,"592,000","666,000","795,000","1,072,000","720,000","819,052",27,
2019 April,"600,000","696,000","785,000","1,000,000","720,000","809,427",33,
2019 May,"600,000","700,000","790,000","1,144,000","740,000","848,616",25,
2019 June,"600,000","700,000","775,000","1,180,000","720,000","846,513",24,
2019 July,"498,000","600,000","730,000","996,000","655,000","769,245",20,
2019 August,"480,000","600,000","780,000","1,198,000","650,000","787,631",16,
2019 September,**,**,**,**,**,"774,873",15,
2019 October,**,**,**,**,**,"771,935",17,
2019 November,"560,000","700,000","760,000","1,000,000","760,000","783,231",29,
2019 December,"600,000","750,000","760,000","1,165,000","760,000","811,538",29,
2020 January,"560,000","750,000","760,000","1,165,000","760,000","823,750",24,
2020 February,"560,000","750,000","760,000","1,060,000","760,000","808,913",23,
2020 March,"560,000","750,000","760,000","760,000","760,000","735,642",19,
2020 April,"560,000","670,000","760,000","760,000","750,000","725,581",21,
2020 May,"560,000","670,000","760,000","784,000","737,500","772,004",26,
2020 June,"548,000","644,000","672,000","750,000","667,500","710,313",16,
2020 July,**,**,**,**,**,"790,927",11,
2020 August,**,**,**,**,**,"839,310",10,
2020 September,**,**,**,**,**,"790,083",12,
2020 October,**,**,**,**,**,"790,083",12,
2020 November,**,**,**,**,**,"757,398",14,
2020 December,**,**,**,**,**,"761,772",8,
2021 January,**,**,**,**,**,"829,900",5,
2021 February,**,**,**,**,**,"852,175",4,
2021 March,**,**,**,**,**,**,3,
2021 April,**,**,**,**,**,"1,261,133",6,
2021 May,**,**,**,**,**,"1,094,156",9,
2021 June,**,**,**,**,**,**,5,
2021 July,**,**,**,**,**,**,4,
2021 August,**,**,**,**,**,**,4,
2021 September,**,**,**,**,**,**,3,
2021 October,**,**,**,**,**,**,3,
2021 November,**,**,**,**,**,**,3,
2021 December,**,**,**,**,**,**,2,
2022 January,**,**,**,**,**,**,0,
2022 February,**,**,**,**,**,**,0,
2022 March,**,**,**,**,**,**,3,
2022 April,**,**,**,**,**,**,0,
2022 May,**,**,**,**,**,**,2,
2022 June,**,**,**,**,**,**,2,
2022 July,**,**,**,**,**,**,6,
2022 August,**,**,**,**,**,"962,629",7,
2022 September,**,**,**,**,**,"1,010,628",7,
2022 October,**,**,**,**,**,"939,910",10,
2022 November,**,**,**,**,**,"869,767",6,
2022 December,**,**,**,**,**,"874,258",12,
2023 January,"735,000","935,000","995,000","1,000,000","975,000","938,569",16,
2023 February,"745,000","895,000","997,000","1,170,000","975,000","952,839",18,
2023 March,"788,000","975,000","998,000","1,166,000","995,000","997,073",15,
2023 April,"947,000","983,000","1,000,000","1,166,000","995,000","1,018,066",15,
2023 May,"884,000","975,000","995,000","1,120,000","980,000","990,994",16,
2023 June,**,**,**,**,**,"1,097,742",14,
2023 July,**,**,**,**,**,"992,745",22,
2023 August,**,**,**,**,**,"1,040,969",19,
2023 September,**,**,**,**,**,"1,026,100",24,
2023 October,"864,000","951,000","1,120,000","1,182,000","980,000","1,017,273",33,
2023 November,"870,000","953,000","1,110,000","1,186,000","980,000","1,026,422",31,
2023 December,"850,000","900,000","1,000,000","1,150,000","955,000","966,143",35,
2024 January,"830,000","890,000","985,000","1,150,000","950,000","942,664",28,
2024 February,**,**,**,**,**,"969,268",34,
2024 March,"850,000","959,000","1,000,000","1,158,000","1,000,000","988,441",37,

Source,CMHC Market Absorption Survey
