year,cma_code,Age of Primary Household Maintainer - 15 - 24,Age of Primary Household Maintainer - 25 - 34,Age of Primary Household Maintainer - 35 - 44,Age of Primary Household Maintainer - 45 - 54,Age of Primary Household Maintainer - 55 - 64,Age of Primary Household Maintainer - Total 65+,Age of Primary Household Maintainer - Total,Mobility of Primary Household Maintainer - 15 - 24,Mobility of Primary Household Maintainer - 25 - 34,Mobility of Primary Household Maintainer - 35 - 44,Mobility of Primary Household Maintainer - 45 - 54,Mobility of Primary Household Maintainer - 55 - 64,Mobility of Primary Household Maintainer - Total 65+,Mobility of Primary Household Maintainer - Total,Household Type - Couple-With-Children,Household Type - Couple-Without-Children,Household Type - Total Lone- Parent Households,Household Type - Multiple- Family,Household Type - Total One- Person Households,Household Type - Other Non-Family,Household Type - Total,Household Size - One-Person Household,Household Size - Two-Person Household,Household Size - Three-Person Household,Household Size - Four-Person Household,Household Size - Five-Or-More-Person Household,Household Size - Total,Immigrant Households - Non-Immigrant,Immigrant Households - Non-Permanent Resident,Immigrant Households - Immigrant,Immigrant Households - Recent Immigrant,Immigrant Households - Total,Households with Seniors - Household Has at Least One Senior (65 or Older),Households with Seniors - Other Household Type,Households with Seniors - Total,Households with Children Under 18 - Household Has at Least One Child Less Than 18 Years Old,Households with Children Under 18 - Other Household Type,Households with Children Under 18 - Total,Activity Limitations - Household Has at Least One Person With Activity Limitations,Activity Limitations - Other Household Type,Activity Limitations - Total,Aboriginal Households - Aboriginal Households,Aboriginal Households - Non-Aboriginal Households,Aboriginal Households - Total,Shelter Costs - Less Than $500 Per Month,Shelter Costs - $500 to $999 Per Month,"Shelter Costs - $1,000 to $1,499 Per Month","Shelter Costs - $1,500 to $1,999 Per Month","Shelter Costs - $2,000 And Over Per Month","Shelter Costs - Total Non-Farm, Non-Band Households",Mortgages - With a Mortgage,Mortgages - Without a Mortgage,Mortgages - Total Private Households With Mortgage Status Known,"Household Income - Less Than $20,000","Household Income - $20,000 to $39,999","Household Income - $40,000 to $59,999","Household Income - $60,000 to $79,999","Household Income - $80,000 to $99,999","Household Income - $100,000 And Over",Household Income - Total,Condominiums - Part of a Condominium,Condominiums - Not Part of a Condominium,Condominiums - Total,Housing Suitability - Suitable,Housing Suitability - Not Suitable (Crowded),Housing Suitability - Total,Value of Owner-occupied Dwellings ($) - Single-Detached,Value of Owner-occupied Dwellings ($) - Semi-Detached,Value of Owner-occupied Dwellings ($) - Row,Value of Owner-occupied Dwellings ($) - Duplex,Value of Owner-occupied Dwellings ($) - Low-Rise Apt.,Value of Owner-occupied Dwellings ($) - High-Rise Apt.,Value of Owner-occupied Dwellings ($) - Other,Value of Owner-occupied Dwellings ($) - Total,Period of Construction and Condition of Dwelling - Needs Only Regular Maintenance,Period of Construction and Condition of Dwelling - Needs Minor Repairs,Period of Construction and Condition of Dwelling - Needs Major Repairs,Period of Construction and Condition of Dwelling - Total
2011,0610/3/Hamilton,"7,600","34,885","50,350","65,195","52,805","71,355","282,190","6,975","28,490","24,835","19,930","12,035","11,825","104,100","89,755","70,920","31,785","5,090","75,505","9,125","282,190","75,505","92,020","45,030","45,240","24,395","282,190","198,755","2,060","81,365","5,135","282,190","78,945","203,240","282,190","83,380","198,805","282,190","111,390","170,795","282,190","6,495","275,690","282,190","37,695","112,360","58,540","42,715","30,190","281,500","118,445","82,490","200,935","32,355","49,360","47,085","38,245","32,545","82,595","282,190","36,405","245,780","282,190","266,075","16,115","282,190","369,507","274,659","267,668","292,782","246,225","244,978","192,923","343,367","193,875","69,245","19,060","282,190"
2011,0670/3/Kelowna,"2,645","9,415","11,265","15,760","14,790","21,070","74,950","2,510","7,950","6,395","6,350","5,125","4,900","33,230","18,560","24,855","6,365","1,340","19,955","3,870","74,950","19,960","29,975","10,640","9,410","4,960","74,950","62,340",340,"12,275",835,"74,950","22,915","52,040","74,950","18,815","56,135","74,950","28,635","46,310","74,950","4,175","70,770","74,950","19,850","17,175","15,200","11,700","10,385","74,310","32,510","23,960","56,475","9,185","15,135","13,440","11,160","8,340","17,685","74,950","15,520","59,430","74,950","72,305","2,645","74,950","540,020","424,519","333,920","471,770","272,749","440,868","141,115","464,474","57,055","14,430","3,470","74,950"
2011,0850/3/Kitchener%20-%20Cambridge%20-%20Waterloo,"7,115","29,620","36,795","42,060","31,065","34,835","181,495","6,775","23,945","18,030","12,990","6,925","5,915","74,585","61,650","46,110","19,055","3,270","43,500","7,910","181,495","43,495","59,410","30,910","31,200","16,470","181,495","130,085","1,420","49,990","4,285","181,495","39,780","141,710","181,495","58,910","122,585","181,495","61,870","119,625","181,495","3,605","177,885","181,495","24,715","65,240","43,145","31,240","16,755","181,095","80,695","46,305","127,005","17,880","29,465","31,005","26,660","22,095","54,395","181,495","17,305","164,190","181,495","171,605","9,890","181,495","344,053","227,731","236,231","313,772","231,537","199,697","168,837","317,549","130,550","41,470","9,480","181,495"
2011,0950/3/London,"9,050","29,370","33,955","42,890","35,915","43,865","195,060","8,610","24,045","17,505","14,200","8,890","8,160","81,400","56,095","50,970","21,000","2,165","55,960","8,860","195,060","55,960","67,515","29,835","27,645","14,100","195,060","150,355","1,845","42,855","3,325","195,060","48,115","146,945","195,060","55,170","139,890","195,060","72,835","122,225","195,060","4,745","190,315","195,060","31,680","81,310","46,625","22,815","11,135","193,565","76,825","51,815","128,640","25,900","38,330","35,630","27,215","21,305","46,670","195,060","23,630","171,425","195,060","185,645","9,415","195,060","273,973","171,842","193,863","250,091","177,892","162,822","127,792","256,882","137,970","45,405","11,680","195,060"
2011,1040/3/Moncton,"2,790","9,720","10,855","11,815","10,585","12,540","58,315","2,665","7,745","5,185","3,965","2,675","2,900","25,145","15,595","17,735","5,525",695,"15,410","3,355","58,315","15,410","22,860","9,510","7,840","2,695","58,315","55,580",205,"2,525",680,"58,315","13,675","44,640","58,315","15,945","42,370","58,315","20,540","37,780","58,315","1,420","56,890","58,315","11,765","25,620","14,615","4,490","1,725","58,215","26,970","14,140","41,115","7,435","12,110","10,960","9,165","6,775","11,875","58,315","2,825","55,490","58,315","56,785","1,530","58,315","183,353","160,505","143,932","169,078","186,411",0,"71,909","172,526","39,460","15,040","3,815","58,315"
2011,1060/3/Montréal,"61,185","260,640","306,250","355,935","287,330","341,955","1,613,290","55,915","210,205","161,295","114,095","67,295","60,380","669,190","449,230","375,730","177,875","15,765","523,450","71,245","1,613,290","523,450","517,610","247,305","218,460","106,470","1,613,290","1,178,775","25,870","408,650","67,170","1,613,290","379,370","1,233,925","1,613,290","447,550","1,165,740","1,613,290","392,080","1,221,210","1,613,290","16,840","1,596,455","1,613,290","303,350","739,620","336,135","152,100","80,850","1,612,055","551,505","334,450","885,955","269,200","331,760","297,870","220,155","159,845","334,450","1,613,290","212,880","1,400,410","1,613,290","1,503,210","110,075","1,613,290","321,452","311,196","311,885","361,574","305,748","344,206","228,076","320,696","1,086,345","413,120","113,830","1,613,290"
2011,1160/3/St.%20Catharines%20-%20Niagara,"4,230","17,485","24,995","34,770","32,625","46,345","160,455","3,850","13,450","11,065","9,990","7,465","7,305","53,125","44,715","45,450","18,420","2,210","44,435","5,220","160,455","44,440","58,035","24,885","21,590","11,500","160,455","125,990",810,"33,655","1,425","160,455","50,535","109,915","160,455","41,945","118,510","160,455","67,475","92,975","160,455","5,030","155,425","160,455","30,165","65,665","37,825","17,785","8,200","159,640","65,135","53,645","118,785","18,500","33,575","32,320","24,090","17,075","34,895","160,455","8,980","151,475","160,455","153,540","6,910","160,455","259,318","187,810","234,116","200,577","216,157","173,368","188,147","250,815","110,180","39,225","11,050","160,455"
2011,1250/3/Oshawa,"2,695","16,615","26,615","34,450","23,205","26,120","129,695","2,340","12,950","12,175","9,440","5,040","4,955","46,900","47,895","31,475","16,215","3,405","26,460","4,255","129,695","26,455","40,975","23,875","25,565","12,825","129,695","101,435",285,"27,975",955,"129,695","30,045","99,650","129,695","46,710","82,990","129,695","49,090","80,605","129,695","3,375","126,320","129,695","11,845","40,935","28,525","28,500","19,585","129,395","69,830","33,105","102,935","11,180","17,665","20,935","17,715","16,170","46,035","129,695","8,415","121,280","129,695","123,430","6,270","129,695","330,003","206,974","222,155","273,266","207,218","221,121","123,878","307,338","91,080","31,880","6,740","129,695"
2011,1265/3/Ottawa,"15,470","56,830","70,115","86,415","67,115","71,225","367,170","14,645","48,145","37,390","28,375","15,755","11,045","155,365","112,295","91,880","36,525","5,070","102,180","19,205","367,170","102,180","121,265","58,230","55,670","29,820","367,170","268,795","3,755","94,625","9,110","367,170","80,540","286,630","367,170","107,450","259,715","367,170","122,910","244,260","367,170","11,210","355,960","367,170","37,410","127,525","85,720","67,160","48,330","366,145","150,655","97,615","248,270","35,675","45,185","53,170","49,475","43,660","140,005","367,170","52,990","314,180","367,170","346,170","21,000","367,170","434,616","329,637","280,883","384,267","315,565","302,892","189,788","383,284","250,740","93,980","22,450","367,170"
2011,1400/3/Québec,"15,440","57,065","53,910","72,330","68,675","78,465","345,885","14,580","45,940","25,375","20,620","14,340","14,110","134,970","83,740","97,550","29,455","1,220","119,580","14,350","345,885","119,575","124,965","47,180","39,700","14,465","345,885","330,535","1,200","14,160","3,370","345,885","83,995","261,885","345,885","81,235","264,650","345,885","73,920","271,965","345,885","4,290","341,600","345,885","88,450","152,150","73,255","23,070","8,500","345,420","124,720","81,310","206,030","47,490","70,025","65,660","51,715","39,310","71,685","345,885","41,550","304,335","345,885","336,110","9,780","345,885","266,450","212,082","221,593","237,552","214,337","298,190","156,009","251,928","243,850","83,115","18,920","345,885"
2011,1490/3/Regina,"4,055","15,405","14,750","18,635","15,625","17,460","85,930","3,775","12,495","7,560","5,495","3,350","3,575","36,240","23,565","22,670","9,470","1,160","24,635","4,425","85,930","24,635","29,570","13,175","12,255","6,290","85,930","76,310",755,"8,870","2,140","85,930","18,805","67,125","85,930","24,340","61,590","85,930","29,030","56,900","85,930","8,355","77,580","85,930","15,970","31,015","21,505","11,000","5,955","85,445","35,435","25,240","60,675","9,045","13,450","13,505","12,010","9,625","28,300","85,930","9,415","76,520","85,930","81,730","4,200","85,930","338,783","251,843","283,620","256,278","258,507","231,183","131,670","328,149","53,470","24,635","7,825","85,930"
2011,1600/3/Saint%20John,"1,795","7,055","9,045","12,180","10,470","11,585","52,135","1,715","5,385","4,400","3,145","2,485","1,955","19,080","14,790","14,650","6,265",750,"13,505","2,170","52,135","13,505","19,270","8,610","7,570","3,165","52,135","49,130",335,"2,670",375,"52,135","12,800","39,330","52,135","15,405","36,725","52,135","19,945","32,190","52,135","1,400","50,730","52,135","12,935","23,005","9,925","4,405","1,810","52,080","21,325","15,620","36,935","7,385","10,220","9,250","7,155","5,710","12,410","52,135","1,695","50,440","52,135","50,380","1,750","52,135","203,676","176,868","166,421","165,585","195,054","144,978","77,109","193,331","31,740","15,630","4,765","52,135"
2011,1640/3/St.%20John's,"3,760","12,605","15,375","17,745","15,010","14,515","79,020","3,515","9,900","7,340","4,450","3,170","2,265","30,650","24,555","20,815","9,175","1,245","18,845","4,385","79,020","18,845","28,100","15,230","12,470","4,375","79,020","75,750",500,"2,775",515,"79,020","16,710","62,310","79,020","22,990","56,030","79,020","24,385","54,635","79,020","2,445","76,575","79,020","15,170","30,065","18,855","10,900","3,975","78,965","35,365","20,120","55,485","9,990","13,175","12,100","11,265","8,830","23,660","79,020","2,670","76,350","79,020","76,340","2,685","79,020","296,920","229,339","201,393","284,479","261,076","259,220","169,187","285,415","58,070","16,240","4,715","79,020"
2011,1700/3/Saskatoon,"7,000","20,000","18,240","21,955","17,185","19,900","104,285","6,685","16,320","9,705","6,910","3,740","4,540","47,890","29,770","27,170","9,905","1,520","28,685","7,240","104,285","28,685","36,010","16,135","14,720","8,740","104,285","91,645","1,375","11,260","3,200","104,285","21,170","83,115","104,285","30,430","73,855","104,285","34,380","69,905","104,285","10,550","93,740","104,285","16,945","35,770","27,210","15,410","8,150","103,485","44,150","27,315","71,470","11,810","16,825","17,025","15,115","12,190","31,330","104,285","16,290","87,995","104,285","98,775","5,515","104,285","365,171","330,944","267,811","304,882","245,631","302,038","133,953","345,583","71,625","26,285","6,370","104,285"
2011,1800/3/Sherbrooke,"5,875","14,315","14,055","18,320","17,825","20,695","91,090","5,615","11,945","7,105","6,255","4,810","5,160","40,890","20,540","25,435","8,515",405,"32,305","3,885","91,090","32,305","32,750","11,580","9,750","4,700","91,090","85,515",515,"5,070","1,370","91,090","22,160","68,925","91,090","21,905","69,185","91,090","22,955","68,140","91,090","1,180","89,910","91,090","26,875","41,365","16,595","4,185","1,775","90,790","31,005","18,730","49,740","17,465","21,790","17,435","12,670","8,505","13,230","91,090","6,135","84,955","91,090","88,265","2,825","91,090","232,932","175,111","173,708","198,339","196,226","244,906","112,822","222,563","65,940","20,425","4,725","91,090"
2011,2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,"2,710","9,325","11,300","15,220","12,950","16,260","67,770","2,510","7,290","5,145","4,160","2,330","2,045","23,480","18,930","19,270","7,200",765,"19,190","2,420","67,770","19,185","24,740","10,850","9,230","3,750","67,770","61,890",210,"5,670",195,"67,770","17,585","50,185","67,770","18,370","49,400","67,770","28,990","38,780","67,770","7,380","60,380","67,770","12,935","27,665","14,995","7,700","4,350","67,645","26,405","19,555","45,960","8,690","11,660","12,040","9,855","7,980","17,540","67,770",940,"66,830","67,770","65,425","2,345","67,770","257,591","203,931","188,061","216,053","237,418","299,911","97,161","250,281","43,695","18,915","5,160","67,770"
2011,2270/3/Toronto,"47,145","276,760","421,265","487,830","360,650","396,040","1,989,695","40,500","227,950","228,835","162,190","81,600","60,300","801,375","727,480","399,220","229,675","82,855","469,760","80,710","1,989,695","469,760","548,335","352,350","365,105","254,140","1,989,695","860,695","29,480","1,099,515","103,160","1,989,695","492,040","1,497,650","1,989,695","682,410","1,307,285","1,989,695","656,525","1,333,165","1,989,695","21,590","1,968,105","1,989,695","181,350","600,905","452,285","374,755","378,970","1,988,260","843,795","513,525","1,357,325","229,855","309,870","312,750","263,310","219,140","654,775","1,989,695","371,750","1,617,940","1,989,695","1,766,035","223,660","1,989,695","578,649","422,555","366,694","484,865","437,826","320,295","478,576","495,378","1,423,040","448,240","118,420","1,989,695"
2011,2320/3/Trois-Rivières,"3,465","9,885","9,645","14,940","14,400","17,805","70,135","3,265","7,895","4,645","4,810","3,325","3,050","26,995","14,920","19,780","6,920",235,"25,655","2,625","70,135","25,655","25,580","8,880","7,455","2,565","70,135","68,220",220,"1,695",485,"70,135","18,955","51,180","70,135","15,275","54,860","70,135","17,135","53,000","70,135","1,100","69,040","70,135","27,385","29,285","9,990","2,365",870,"69,900","22,195","18,300","40,495","14,315","16,625","13,430","9,580","5,980","10,205","70,135","4,395","65,740","70,135","68,450","1,685","70,135","169,204","147,655","132,007","161,859","148,518","308,176","123,370","164,515","49,600","15,890","4,645","70,135"
2011,2410/3/Vancouver,"28,795","130,165","175,255","209,620","168,710","178,755","891,310","26,145","107,940","102,235","79,655","44,455","31,375","391,805","274,205","202,915","84,635","34,455","250,630","44,475","891,310","250,630","272,345","142,205","136,130","90,000","891,310","483,550","19,550","388,210","44,480","891,310","216,385","674,925","891,310","259,010","632,295","891,310","303,490","587,820","891,310","27,920","863,390","891,310","153,680","261,720","180,415","131,040","162,495","889,350","343,035","238,880","581,915","131,480","148,295","142,875","120,390","94,970","253,300","891,310","279,530","611,775","891,310","808,040","83,270","891,310","871,336","650,567","453,634","789,140","407,787","507,198","207,105","690,775","641,260","191,320","58,730","891,310"
2011,2440/3/Victoria,"6,945","21,855","23,190","30,670","31,515","39,230","153,395","6,615","18,580","13,725","11,630","9,055","7,935","67,545","33,155","44,610","13,315","2,170","51,165","8,980","153,395","51,165","57,045","20,890","16,740","7,555","153,395","120,505","1,220","31,670","1,830","153,395","43,165","110,225","153,395","33,710","119,680","153,395","60,655","92,735","153,395","7,555","145,840","153,395","32,800","48,915","28,815","19,875","22,365","152,770","55,285","44,170","99,450","20,540","27,305","27,055","22,280","17,365","38,850","153,395","28,325","125,065","153,395","145,900","7,495","153,395","659,308","506,725","444,363","628,956","361,436","464,880","181,832","578,869","110,540","33,685","9,170","153,395"
2011,2640/3/Windsor,"3,945","15,305","23,885","29,140","24,275","30,325","126,870","3,605","10,995","9,545","7,785","5,330","4,415","41,675","38,850","30,810","15,835","1,970","35,490","3,915","126,870","35,490","41,105","20,005","19,125","11,145","126,870","93,000","1,105","32,765","2,395","126,870","33,560","93,310","126,870","37,795","89,080","126,870","47,375","79,500","126,870","3,665","123,200","126,870","27,485","53,450","27,765","12,140","5,610","126,450","51,225","41,055","92,280","18,570","24,515","22,410","16,895","14,030","30,450","126,870","9,075","117,795","126,870","120,385","6,490","126,870","205,487","165,974","165,127","138,069","133,129","141,349","219,758","199,090","89,945","28,720","8,215","126,870"
2011,2680/3/Winnipeg,"10,645","44,565","52,180","65,380","55,265","63,305","291,340","9,965","35,670","26,250","20,200","11,410","11,735","115,235","84,770","70,365","31,750","5,385","86,490","12,580","291,340","86,495","93,410","44,170","42,150","25,125","291,340","225,890","2,490","62,960","11,765","291,340","69,865","221,480","291,340","84,115","207,225","291,340","107,660","183,685","291,340","36,835","254,505","291,340","72,720","115,135","64,495","25,580","12,730","290,660","119,145","79,410","198,555","38,180","54,810","52,655","42,605","32,275","70,820","291,340","21,370","269,970","291,340","269,870","21,475","291,340","276,283","194,007","196,515","227,681","196,304","227,691","162,417","266,127","182,390","82,210","26,735","291,340"
2011,3300/3/Charlottetown,"1,200","3,565","4,410","5,760","5,380","5,890","26,205","1,190","2,850","2,215","2,065","1,225","1,290","10,830","7,770","7,120","2,685",340,"6,970","1,325","26,205","6,975","9,480","4,290","3,685","1,780","26,205","23,855",165,"2,185",740,"26,205","6,465","19,740","26,205","7,575","18,635","26,205","8,915","17,295","26,205",475,"25,730","26,205","4,815","11,585","6,980","1,990",625,"25,995","10,215","6,790","17,010","3,580","4,925","4,825","3,885","3,195","5,795","26,205",690,"25,520","26,205","25,185","1,020","26,205","206,492","175,007","179,359","253,790","275,976","140,825","78,534","200,762","17,595","7,015","1,595","26,205"
2016,0140/3/Calgary,"14,370","98,930","114,165","111,530","95,640","85,060","519,695","13,680","80,640","64,305","39,105","22,610","14,575","234,915","175,325","131,120","45,730","14,220","122,340","30,960","519,695","122,335","168,985","87,730","86,055","54,590","519,695","344,230","7,890","167,570","25,185","519,695","102,640","417,055","519,695","169,580","350,115","519,695","248,585","271,105","519,695","21,405","498,290","519,695","46,990","107,840","106,190","112,475","145,210","518,710","255,550","122,805","378,355","27,750","52,445","59,705","61,830","58,820","259,145","519,695","113,055","406,635","519,695","496,040","23,655","519,695","586,694","471,026","344,178","496,059","300,909","419,138","139,866","527,238","384,305","113,725","21,665","519,695"
2016,0340/3/Edmonton,"19,675","97,235","100,380","99,730","92,600","92,520","502,140","18,495","77,470","56,135","35,890","21,825","14,970","224,790","157,505","129,380","49,380","11,960","123,645","30,275","502,140","123,650","168,720","82,530","77,135","50,115","502,140","360,950","8,935","132,260","22,820","502,140","106,950","395,195","502,140","155,470","346,675","502,140","259,995","242,145","502,140","36,550","465,595","502,140","38,925","125,210","108,785","105,300","120,670","498,890","225,915","121,345","347,260","27,880","56,525","61,775","62,590","57,600","235,780","502,140","99,585","402,550","502,140","475,230","26,915","502,140","485,135","367,684","280,075","408,339","256,949","343,506","166,952","437,455","352,855","122,140","27,145","502,140"
2016,0370/3/Fredericton,"2,255","6,690","7,345","8,290","7,920","10,265","42,775","2,170","5,265","3,355","2,470","1,620","1,605","16,490","11,610","13,090","4,035",465,"11,465","2,095","42,775","11,465","16,490","6,800","5,570","2,450","42,775","38,830",400,"3,545",720,"42,775","11,250","31,520","42,775","11,475","31,295","42,775","25,425","17,345","42,775","2,225","40,550","42,775","8,525","15,715","11,025","4,870","2,065","42,205","18,485","11,760","30,245","4,255","7,495","7,365","6,385","5,070","12,205","42,775","1,805","40,965","42,775","41,625","1,145","42,775","234,790","209,728","217,923","244,460","193,383","345,199","80,682","217,886","27,220","12,675","2,880","42,775"
2016,0460/3/Guelph,"2,470","8,940","10,695","12,360","11,315","13,495","59,280","2,330","7,330","5,305","3,825","2,610","2,315","23,720","18,735","15,535","5,860","1,145","15,165","2,835","59,280","15,170","19,785","9,660","9,500","5,170","59,280","44,485",540,"14,260","1,035","59,280","15,495","43,785","59,280","17,450","41,830","59,280","32,195","27,085","59,280","1,245","58,035","59,280","4,765","18,405","13,725","11,380","10,740","59,020","25,970","15,390","41,360","4,455","7,935","8,830","7,915","7,140","23,005","59,280","8,115","51,165","59,280","57,060","2,220","59,280","508,323","354,167","327,132","471,877","287,618","258,139","184,661","463,729","42,190","14,125","2,960","59,280"
2016,0580/3/Halifax,"9,080","27,935","28,935","34,535","33,710","39,260","173,460","8,800","23,035","14,135","9,890","7,395","6,385","69,640","43,000","48,795","17,165","2,305","51,215","10,975","173,460","51,215","64,425","27,235","21,020","9,565","173,460","153,180","3,220","17,060","2,835","173,460","43,405","130,055","173,460","42,940","130,520","173,460","102,375","71,085","173,460","9,035","164,425","173,460","20,000","60,370","47,760","28,755","16,475","173,365","66,735","37,455","104,195","18,130","28,240","28,410","24,625","20,750","53,305","173,460","10,415","163,045","173,460","167,475","5,985","173,460","326,325","223,800","271,724","350,848","302,584","325,736","96,717","307,526","110,895","51,095","11,470","173,460"
2016,0610/3/Hamilton,"5,955","36,630","48,810","62,090","59,380","80,480","293,345","5,570","29,280","24,070","18,240","13,420","12,925","103,505","90,615","74,210","33,820","5,965","79,445","9,290","293,345","79,445","96,080","46,920","45,170","25,735","293,345","203,840","2,390","87,115","4,750","293,345","89,820","203,525","293,345","82,455","210,895","293,345","164,450","128,900","293,345","7,920","285,425","293,345","26,805","102,995","62,850","51,265","48,685","292,600","124,800","80,980","205,785","24,575","46,215","45,200","38,895","33,130","105,330","293,345","38,235","255,110","293,345","280,115","13,230","293,345","524,226","391,834","382,404","439,603","326,584","313,179","326,217","485,415","202,820","72,155","18,365","293,345"
2016,0670/3/Kelowna,"2,955","10,450","11,745","14,875","17,185","24,165","81,385","2,760","8,380","6,495","5,980","5,845","5,890","35,360","19,010","27,555","7,165","1,490","21,685","4,475","81,385","21,685","33,365","11,200","9,840","5,295","81,385","67,525",555,"13,305",895,"81,385","26,720","54,660","81,385","18,880","62,500","81,385","46,430","34,955","81,385","5,735","75,645","81,385","17,090","18,925","16,880","13,230","14,480","80,600","34,480","24,460","58,940","6,545","13,910","13,505","11,790","9,535","26,095","81,385","17,330","64,055","81,385","79,085","2,295","81,385","610,992","498,855","360,145","568,091","280,974","427,931","139,033","517,837","60,390","17,345","3,650","81,385"
2016,0850/3/Kitchener%20-%20Cambridge%20-%20Waterloo,"7,505","31,545","36,570","43,280","37,845","43,765","200,495","7,080","25,535","17,585","13,165","8,130","7,570","79,065","64,770","52,000","21,280","4,365","49,360","8,710","200,495","49,365","66,650","33,170","32,620","18,695","200,495","142,585","3,280","54,630","3,845","200,495","50,185","150,310","200,495","60,965","139,530","200,495","106,425","94,070","200,495","4,850","195,645","200,495","19,795","63,755","48,765","40,495","27,080","199,880","86,645","48,920","135,565","15,370","29,345","31,280","28,120","24,495","71,885","200,495","21,785","178,710","200,495","191,555","8,940","200,495","427,129","287,695","285,802","376,729","265,137","249,243","217,954","393,896","142,255","48,165","10,070","200,495"
2016,0950/3/London,"9,220","30,875","33,110","40,765","40,090","52,385","206,450","8,835","24,800","16,595","13,450","10,085","10,305","84,065","55,585","53,895","22,575","2,470","62,210","9,710","206,450","62,210","71,790","30,625","27,020","14,800","206,450","156,510","3,190","46,750","3,470","206,450","57,210","149,240","206,450","53,695","152,750","206,450","117,185","89,260","206,450","6,690","199,760","206,450","24,875","81,490","53,740","27,915","17,025","205,045","80,725","50,130","130,855","22,915","37,060","35,905","28,760","23,400","58,410","206,450","25,390","181,060","206,450","198,215","8,240","206,450","323,956","191,469","209,360","261,791","221,513","208,503","140,594","301,631","145,375","48,960","12,115","206,450"
2016,1040/3/Moncton,"2,600","9,415","11,210","11,855","11,415","15,285","61,775","2,455","7,095","4,860","3,555","2,730","3,165","23,865","15,630","18,710","6,215",665,"17,415","3,135","61,775","17,415","24,100","9,515","7,635","3,115","61,775","57,940",415,"3,410",825,"61,775","16,740","45,030","61,775","15,850","45,920","61,775","35,510","26,260","61,775","2,075","59,690","61,775","9,820","26,250","16,790","6,050","2,740","61,655","27,890","14,595","42,490","6,040","11,975","11,340","9,480","7,270","15,675","61,775","3,340","58,430","61,775","60,380","1,395","61,775","203,261","177,683","163,567","192,006","183,238",0,"72,932","191,255","41,745","16,555","3,470","61,775"
2016,1060/3/Montréal,"57,630","261,415","325,280","351,120","329,975","401,890","1,727,310","54,170","208,750","167,355","109,065","72,665","64,365","676,370","474,005","399,825","191,340","18,070","570,110","73,960","1,727,310","570,105","551,430","257,235","231,175","117,365","1,727,310","1,236,560","31,250","459,510","63,045","1,727,310","448,675","1,278,635","1,727,310","462,400","1,264,905","1,727,310","753,170","974,140","1,727,310","22,505","1,704,805","1,727,310","227,335","746,945","396,160","214,045","141,635","1,726,125","622,070","338,570","960,640","199,915","323,250","315,840","245,795","184,885","457,625","1,727,310","276,450","1,450,860","1,727,310","1,629,720","97,590","1,727,310","371,531","359,631","363,073","416,753","338,033","386,563","264,541","366,974","1,147,800","467,920","111,590","1,727,310"
2016,1160/3/St.%20Catharines%20-%20Niagara,"4,330","18,395","23,665","32,775","35,670","53,645","168,485","4,080","13,875","11,130","10,245","9,170","9,640","58,145","43,060","48,790","19,610","2,720","48,240","6,070","168,485","48,235","62,175","25,285","21,230","11,565","168,485","131,345","1,420","35,720","1,390","168,485","58,690","109,795","168,485","40,360","128,125","168,485","97,800","70,680","168,485","6,495","161,985","168,485","22,290","67,425","42,550","21,980","13,270","167,510","69,350","52,485","121,830","16,390","32,640","31,100","24,750","19,330","44,270","168,485","10,200","158,290","168,485","163,305","5,180","168,485","321,530","226,845","289,857","262,075","239,654","202,702","197,007","309,957","116,570","41,035","10,880","168,485"
2016,1250/3/Oshawa,"2,000","17,195","26,225","32,925","27,920","32,690","138,960","1,860","12,925","12,180","9,375","6,280","6,475","49,090","49,610","33,725","18,000","3,860","29,650","4,125","138,960","29,650","43,795","25,060","25,885","14,575","138,960","105,565",460,"32,940","1,035","138,960","37,885","101,075","138,960","46,680","92,285","138,960","77,315","61,645","138,960","4,810","134,160","138,960","8,505","38,445","30,130","30,060","31,495","138,625","74,115","33,655","107,775","8,375","17,395","19,940","18,550","17,335","57,370","138,960","8,520","130,440","138,960","133,790","5,175","138,960","494,537","313,075","343,240","416,442","294,649","285,143","210,497","461,757","96,465","35,245","7,255","138,960"
2016,1265/3/Ottawa,"15,460","58,575","69,605","86,425","76,580","88,755","395,400","14,820","48,125","35,690","26,585","16,510","13,695","155,420","117,440","102,385","39,880","6,215","109,780","19,695","395,400","109,780","132,755","61,660","58,910","32,285","395,400","286,960","5,555","102,880","8,345","395,400","101,015","294,380","395,400","111,210","284,190","395,400","219,360","176,035","395,400","14,845","380,550","395,400","28,190","117,890","95,430","80,180","72,560","394,250","160,590","101,975","262,565","32,480","46,425","51,810","50,770","47,395","166,510","395,400","58,980","336,420","395,400","377,565","17,835","395,400","496,105","396,551","315,446","486,183","353,882","332,800","160,165","437,539","268,830","105,390","21,175","395,400"
